Index,Title,Year,Duration,PG Rating,IMDB Rating,IMDB ID
1,The Shawshank Redemption,1994,2h 22m,A,9.3,tt0111161
2,The Godfather,1972,2h 55m,A,9.2,tt0068646
3,The Dark Knight,2008,2h 32m,UA,9.0,tt0468569
4,The Godfather: Part II,1974,3h 22m,A,9.0,tt0071562
5,12 Angry Men,1957,1h 36m,U,9.0,tt0050083
6,The Lord of the Rings: The Return of the King,2003,3h 21m,U,9.0,tt0167260
7,Schindler's List,1993,3h 15m,A,9.0,tt0108052
8,Pulp Fiction,1994,2h 34m,A,8.8,tt0110912
9,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,U,8.9,tt0120737
10,"Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,A,8.8,tt0060196
11,Forrest Gump,1994,2h 22m,UA,8.8,tt0109830
12,The Lord of the Rings: The Two Towers,2002,2h 59m,UA,8.8,tt0167261
13,Fight Club,1999,2h 19m,A,8.8,tt0137523
14,Inception,2010,2h 28m,UA,8.8,tt1375666
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,UA,8.7,tt0080684
16,The Matrix,1999,2h 16m,A,8.7,tt0133093
17,GoodFellas,1990,2h 25m,A,8.7,tt0099685
18,Interstellar,2014,2h 49m,UA,8.7,tt0816692
19,One Flew Over the Cuckoo's Nest,1975,2h 13m,A,8.7,tt0073486
20,Se7en,1995,2h 7m,A,8.6,tt0114369
21,It's a Wonderful Life,1946,2h 10m,PG,8.6,tt0038650
22,The Silence of the Lambs,1991,1h 58m,A,8.6,tt0102926
23,Shichinin No Samurai,1954,3h 27m,U,8.6,tt0047478
24,Saving Private Ryan,1998,2h 49m,A,8.6,tt0120815
25,The Green Mile,1999,3h 9m,UA,8.6,tt0120689
